n_valid,pred_path,ref_path,thr_m,max_depth_m,method,RMSE,MAE,Bias,Pearson,Spearman,TP,FP,FN,TN,Accuracy,Precision,Recall,F1,IoU,Area_pred_m2,Area_ref_m2,Area_intersection_m2,Area_diff_m2,Vol_pred_m3,Vol_ref_m3,Vol_diff_m3,event
1998434,ug1/pred/predicted_depth_1_80_ug1_FIXED.tif,simulation/synth_water_depth_2_80_pos,0.01,10.0,RAW,0.05699857696890831,0.01964636519551277,-0.0011881935643032193,0.6364821195602417,0.5774816798729439,232901,258536,44945,1462052,0.8481405940851687,0.47391832523802646,0.8382377288138033,0.6055014864490701,0.4342073373081125,491437.0,277846.0,232901.0,213591.0,34291.6015625,38720.83984375,-4429.23828125,UG1_1_80
1998434,ug1/pred/predicted_depth_1_80_ug1_FIXED.tif,simulation/synth_water_depth_2_80_pos,0.01,10.0,CAL_QM,0.06651239097118378,0.01855912059545517,9.838624100666493e-05,0.6015862822532654,0.5774816798729729,160428,117412,117418,1603176,0.882492992012746,0.5774114598329974,0.5773989908078576,0.5774052252531106,0.4058817278840656,277840.0,277846.0,160428.0,-6.0,38917.3984375,38720.83984375,196.55859375,UG1_1_80
1998434,ug1/pred/predicted_depth_1_80_ug1_FIXED.tif,simulation/synth_water_depth_2_80_pos,0.02,10.0,RAW,0.05699857696890831,0.01964636519551277,-0.0011881935643032193,0.6364821195602417,0.5774816798729439,170688,254301,35259,1538186,0.8551065484274186,0.40162921863860007,0.8287957581319466,0.5410628019323672,0.3708609271523179,424989.0,205947.0,170688.0,219042.0,33359.0703125,37706.19921875,-4347.12890625,UG1_1_80
1998434,ug1/pred/predicted_depth_1_80_ug1_FIXED.tif,simulation/synth_water_depth_2_80_pos,0.02,10.0,CAL_QM,0.06651239097118378,0.01855912059545517,9.838624100666493e-05,0.6015862822532654,0.5774816798729729,113974,91975,91973,1700512,0.9079539279255657,0.5534088536482333,0.5534142279324292,0.5534115407772836,0.3825632212458294,205949.0,205947.0,113974.0,2.0,37902.8515625,37706.19921875,196.65234375,UG1_1_80
1998434,ug1/pred/predicted_depth_1_80_ug1_FIXED.tif,simulation/synth_water_depth_2_80_pos,0.05,10.0,RAW,0.05699857696890831,0.01964636519551277,-0.0011881935643032193,0.6364821195602417,0.5774816798729439,94150,102351,53623,1748310,0.9219518883285612,0.4791324217179556,0.6371258619639583,0.5469480704322719,0.3764132990036942,196501.0,147773.0,94150.0,48728.0,24625.326171875,35867.4765625,-11242.150390625,UG1_1_80
1998434,ug1/pred/predicted_depth_1_80_ug1_FIXED.tif,simulation/synth_water_depth_2_80_pos,0.05,10.0,CAL_QM,0.06651239097118378,0.01855912059545517,9.838624100666493e-05,0.6015862822532654,0.5774816798729729,82660,65131,65113,1785530,0.934826969517132,0.5593033405281783,0.559371468400858,0.5593374023900068,0.38825010333295756,147791.0,147773.0,82660.0,18.0,36068.80078125,35867.4765625,201.32421875,UG1_1_80
