event,method,thr_m,Precision,Recall,F1,IoU,Area_pred_m2,Area_ref_m2,FP_m2,FN_m2
UG2_1_80,RAW,0.0010000000474974513,0.2683704946105396,0.9459971496806755,0.41812333183346895,0.2643210691977754,2898806.0,822364.0,2120852.0,44410.0
UG2_1_80,RAW,0.004999999888241291,0.2896992869426437,0.8991182181065902,0.4382067143816643,0.2805792026953191,1171715.0,377531.0,832270.0,38086.0
UG2_1_80,RAW,0.009999999776482582,0.1869929326884444,0.8651470930942214,0.307518748505874,0.18169698989562325,833839.0,180226.0,677917.0,24304.0
UG2_1_80,RAW,0.019999999552965164,0.10383575889063071,0.857253363839398,0.18523475377672444,0.10207091764327379,757764.0,91785.0,679081.0,13102.0
UG2_1_80,RAW,0.05000000074505806,0.07620520965880048,0.6930140149277589,0.1373113841864426,0.07371676790870203,338717.0,37246.0,312905.0,11434.0
UG2_1_80,RAW,0.10000000149011612,0.043680043680043405,0.4043253408556415,0.07884257252133461,0.04103910048018109,157509.0,17016.0,150629.0,10136.0
